,Label,Area,intensity_mean_fluor,mean_chi2,mean_tau,min_fluor,min_chi2,min_tau,STD_fluor,STD_chi2,STD_tau,File Name,ph,Date,selected_analysis
127,128,110.0,361.57272727272726,107.43636363636364,1422.9727272727273,213.0,68.0,712.0,43.10019175045072,11.919828608230356,358.76987962888643,3,75,2023-10-12,analyze_single_fitted_channel
128,129,107.0,478.2429906542056,114.85046728971963,1470.5700934579438,394.0,90.0,778.0,39.52849229613394,11.39585408979274,330.97299526030827,3,75,2023-10-12,analyze_single_fitted_channel
130,131,81.0,534.9506172839506,119.04938271604938,1300.8765432098764,481.0,88.0,757.0,20.670191595788726,13.961058039929107,310.5773748135483,3,75,2023-10-12,analyze_single_fitted_channel
132,133,63.0,501.6825396825397,115.26984126984127,1622.4761904761904,474.0,85.0,765.0,13.184677731493704,13.110284765842097,325.7198551459232,3,75,2023-10-12,analyze_single_fitted_channel
133,134,97.0,449.0,111.29896907216495,1497.5979381443299,387.0,87.0,884.0,28.377063483714497,12.42973235270447,354.6985262611493,3,75,2023-10-12,analyze_single_fitted_channel
134,135,77.0,518.6883116883117,117.18181818181819,1453.3376623376623,452.0,85.0,824.0,29.58380556478592,12.88079943547031,343.6515756760984,3,75,2023-10-12,analyze_single_fitted_channel
136,137,74.0,533.6756756756756,119.95945945945945,1471.1891891891892,487.0,91.0,659.0,24.139296272747103,12.900281988526126,341.26781413459935,3,75,2023-10-12,analyze_single_fitted_channel
137,138,70.0,474.74285714285713,116.77142857142857,1462.5428571428572,383.0,97.0,774.0,39.159266633394786,10.31388998053655,341.05959620463005,3,75,2023-10-12,analyze_single_fitted_channel
138,139,110.0,527.9454545454546,116.89090909090909,1397.4636363636364,265.0,90.0,819.0,114.69055888572808,13.207673702363303,330.819579426961,3,75,2023-10-12,analyze_single_fitted_channel
139,140,44.0,329.15909090909093,101.75,1403.2272727272727,304.0,82.0,633.0,16.97852009534692,11.18465873011291,361.84620437395046,3,75,2023-10-12,analyze_single_fitted_channel
142,143,66.0,465.74242424242425,112.28787878787878,1395.8333333333333,414.0,77.0,776.0,36.14629810714123,11.63818838281081,303.02723066624316,3,75,2023-10-12,analyze_single_fitted_channel
143,144,39.0,337.46153846153845,103.48717948717949,1563.2051282051282,305.0,78.0,857.0,19.245840248321333,11.14674103199904,369.6142951147705,3,75,2023-10-12,analyze_single_fitted_channel
146,147,85.0,358.38823529411764,109.94117647058823,1495.835294117647,258.0,84.0,670.0,39.78917799001517,10.865328495807171,355.12910153115484,3,75,2023-10-12,analyze_single_fitted_channel
149,150,115.0,327.7826086956522,105.43478260869566,1487.7565217391304,248.0,78.0,690.0,53.61793707150064,13.463077001341311,354.72126451757185,3,75,2023-10-12,analyze_single_fitted_channel
158,159,51.0,320.94117647058823,106.09803921568627,1499.2941176470588,291.0,88.0,727.0,14.418685813093411,9.870246241163755,371.68072394682133,3,75,2023-10-12,analyze_single_fitted_channel
159,160,50.0,469.04,112.86,1621.64,334.0,78.0,889.0,47.61636693407006,11.501321663182887,354.280722591563,3,75,2023-10-12,analyze_single_fitted_channel
161,162,33.0,349.3636363636364,111.18181818181819,1567.3333333333333,324.0,77.0,996.0,17.443967754478443,12.847484237766919,358.2814761631086,3,75,2023-10-12,analyze_single_fitted_channel
0,1,179.0,643.8715083798883,109.84916201117318,925.9106145251396,379.0,72.0,514.0,69.173332797766,13.955020997104173,163.22929291675194,50-3,50,2023-10-12,analyze_single_fitted_channel
1,2,59.0,331.66101694915255,98.47457627118644,1004.457627118644,274.0,73.0,443.0,39.21760680754981,14.126973757047836,220.58422597028962,50-3,50,2023-10-12,analyze_single_fitted_channel
2,3,55.0,506.7090909090909,104.69090909090909,880.290909090909,429.0,72.0,544.0,38.21312136724896,13.395891808885734,191.6979321486871,50-3,50,2023-10-12,analyze_single_fitted_channel
3,4,65.0,391.4307692307692,97.12307692307692,910.6461538461539,322.0,67.0,509.0,36.58035169565097,12.086238445575761,176.7841300542932,50-3,50,2023-10-12,analyze_single_fitted_channel
4,5,81.0,341.2345679012346,93.75308641975309,973.5308641975308,282.0,68.0,552.0,32.525876348235386,12.818322981352125,226.53929353764906,50-3,50,2023-10-12,analyze_single_fitted_channel
5,6,79.0,389.9367088607595,101.0126582278481,937.253164556962,272.0,73.0,562.0,74.15282573072955,13.696062143925909,206.58651103259015,50-3,50,2023-10-12,analyze_single_fitted_channel
6,7,112.0,347.16964285714283,95.85714285714286,926.75,282.0,61.0,525.0,45.64124239123324,12.403093754941851,211.7652634067124,50-3,50,2023-10-12,analyze_single_fitted_channel
7,8,152.0,383.26973684210526,95.88157894736842,923.4407894736842,272.0,70.0,545.0,46.47862700588089,11.436859968014728,184.13216554651828,50-3,50,2023-10-12,analyze_single_fitted_channel
8,9,71.0,493.76056338028167,105.83098591549296,994.7042253521126,378.0,74.0,589.0,72.00967556051401,15.521893593183517,187.64345831106166,50-3,50,2023-10-12,analyze_single_fitted_channel
10,11,108.0,433.01851851851853,100.75925925925925,919.1203703703703,365.0,68.0,543.0,34.332249573370156,12.452034171445993,192.74583713584107,50-3,50,2023-10-12,analyze_single_fitted_channel
11,12,132.0,584.4772727272727,103.87121212121212,911.7045454545455,309.0,71.0,521.0,146.17468098907878,13.672802744660604,151.7465360114031,50-3,50,2023-10-12,analyze_single_fitted_channel
13,14,103.0,636.3980582524272,107.98058252427184,911.0,412.0,77.0,601.0,118.98293422590618,14.872911835171415,147.85180194980995,50-3,50,2023-10-12,analyze_single_fitted_channel
14,15,63.0,598.0793650793651,106.34920634920636,925.936507936508,450.0,77.0,625.0,55.99498321839754,11.554094622458376,144.23766465547692,50-3,50,2023-10-12,analyze_single_fitted_channel
15,16,101.0,734.0990099009902,114.58415841584159,909.4356435643564,321.0,84.0,604.0,176.87946922320597,14.87257248799104,138.6739473730786,50-3,50,2023-10-12,analyze_single_fitted_channel
16,17,60.0,542.4333333333333,105.18333333333334,886.9,373.0,76.0,631.0,73.97079754125197,12.792565115027642,137.04691410851493,50-3,50,2023-10-12,analyze_single_fitted_channel
17,18,112.0,483.29464285714283,104.85714285714286,903.2767857142857,309.0,66.0,544.0,99.60212261013255,16.508578475002206,169.13156384799487,50-3,50,2023-10-12,analyze_single_fitted_channel
18,19,80.0,729.325,111.225,929.875,451.0,83.0,628.0,73.67543264209583,14.298579474898897,138.72458100495385,50-3,50,2023-10-12,analyze_single_fitted_channel
19,20,78.0,429.78205128205127,102.51282051282051,927.025641025641,358.0,78.0,615.0,53.696356042123554,12.657969608464462,194.1670556412286,50-3,50,2023-10-12,analyze_single_fitted_channel
20,21,97.0,346.4226804123711,94.9381443298969,898.8556701030927,270.0,66.0,491.0,29.426068480472402,13.117089217741077,192.5749547306176,50-3,50,2023-10-12,analyze_single_fitted_channel
21,22,54.0,473.6296296296296,102.64814814814815,957.8333333333334,413.0,74.0,625.0,31.614164837637958,12.611219883144338,209.78770133072538,50-3,50,2023-10-12,analyze_single_fitted_channel
22,23,68.0,425.69117647058823,98.8970588235294,896.4117647058823,316.0,73.0,508.0,49.65328534623606,12.680624063649178,204.75984751828017,50-3,50,2023-10-12,analyze_single_fitted_channel
23,24,76.0,624.9868421052631,110.97368421052632,901.8026315789474,347.0,72.0,529.0,104.20343127761053,13.696881785177206,146.73355908412992,50-3,50,2023-10-12,analyze_single_fitted_channel
24,25,144.0,463.96527777777777,103.29166666666667,925.2430555555555,343.0,72.0,603.0,51.57349302942523,14.009855162230146,176.30557620726205,50-3,50,2023-10-12,analyze_single_fitted_channel
25,26,49.0,324.3061224489796,97.89795918367346,965.204081632653,283.0,76.0,593.0,26.703362229358934,12.277812904284692,230.3884013867546,50-3,50,2023-10-12,analyze_single_fitted_channel
26,27,65.0,371.6307692307692,99.32307692307693,889.8923076923077,212.0,72.0,549.0,58.59051360095479,14.369955507995671,169.64960478105118,50-3,50,2023-10-12,analyze_single_fitted_channel
27,28,55.0,345.6363636363636,97.2,898.4363636363636,268.0,70.0,581.0,46.81777581465617,13.760813929415658,165.5486485638657,50-3,50,2023-10-12,analyze_single_fitted_channel
28,29,45.0,370.0444444444444,95.28888888888889,901.2,330.0,65.0,563.0,26.639115397021023,14.17763845281595,194.5226179365497,50-3,50,2023-10-12,analyze_single_fitted_channel
29,30,57.0,525.0526315789474,109.08771929824562,959.0350877192982,489.0,81.0,542.0,22.246956072197854,12.125485270454686,193.65070425918938,50-3,50,2023-10-12,analyze_single_fitted_channel
